ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Northeast - 1990,282524,Number of children 12-23 months (unweighted),362,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_UNW,93906280,U,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCUNW,NGDHS1990433001,1990,DHS,359,,,,1
NGA,Northwest - 1990,2090722,Number of children 12-23 months (unweighted),302,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_UNW,93906280,U,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCUNW,NGDHS1990433002,1990,DHS,373,,,,1
NGA,Southeast - 1990,2096716,Number of children 12-23 months (unweighted),340,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_UNW,93906280,U,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCUNW,NGDHS1990433003,1990,DHS,408,,,,1
NGA,Southwest - 1990,747943,Number of children 12-23 months (unweighted),333,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_UNW,93906280,U,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCUNW,NGDHS1990433004,1990,DHS,240,,,,1
NGA,North Central,7226197,BCG vaccination received,63.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCBCG,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429058,BCG vaccination received,31.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433006,1433020,Region,North East,0,,0,1,CHVACCCBCG,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102121,BCG vaccination received,27.5,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433007,1433030,Region,North West,0,,0,1,CHVACCCBCG,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894072,BCG vaccination received,83.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433008,1433040,Region,South East,0,,0,1,CHVACCCBCG,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553924,BCG vaccination received,85,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433009,1433050,Region,South West,0,,0,1,CHVACCCBCG,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688644,BCG vaccination received,76.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_BCG,93906010,I,433010,1433060,Region,South South,0,,0,1,CHVACCCBCG,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226193,DPT 1 vaccination received,54.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCDP1,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429008,DPT 1 vaccination received,23.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433006,1433020,Region,North East,0,,0,1,CHVACCCDP1,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102119,DPT 1 vaccination received,20.9,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433007,1433030,Region,North West,0,,0,1,CHVACCCDP1,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894064,DPT 1 vaccination received,83.2,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433008,1433040,Region,South East,0,,0,1,CHVACCCDP1,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553923,DPT 1 vaccination received,83.7,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433009,1433050,Region,South West,0,,0,1,CHVACCCDP1,NGDHS2003433009,2003,DHS,81,104,,,1
